pheno,N,N_case,N_control,ldsc_int,ldsc_int_se,ldsc_h2,ldsc_h2_se,ldpred2_n_keep,ldpred2_h2,ldpred2_p
153,,6174,359193,1.01,0.00749,0.107,0.0162,18,0.109,0.00195
165,,3719,387353,1,0.00647,0.0624,0.0179,3,0.0759,0.00796
172,,27574,363386,1.03,0.0109,0.127,0.0143,26,0.101,0.00141
174.1,,14859,183623,1.01,0.00811,0.132,0.0157,24,0.103,0.000876
180,,6707,177013,0.99,0.0119,0.124,0.039,18,0.0473,0.000409
185,,9067,157758,1.01,0.00954,0.213,0.0241,24,0.161,0.000783
187.2,,675,170739,1,0.00733,0.319,0.0944,16,0.202,0.000285
189.2,,3003,386080,1.01,0.00681,0.0505,0.0244,14,0.0741,0.000689
191.11,,679,388519,1.01,0.00665,0.0393,0.0643,3,0.0539,0.0138
193,,605,389068,0.994,0.00656,0.213,0.0747,4,0.101,0.000219
200.1,,439,381435,1.01,0.00673,0.155,0.112,2,0.166,0.0584
208,,24402,363185,1.02,0.00801,0.0768,0.00721,22,0.074,0.0023
211,,6670,373827,1.01,0.00751,0.066,0.016,16,0.0426,0.000604
218,,10692,188880,1,0.00722,0.0702,0.013,18,0.0615,0.000927
241.2,,732,371311,0.996,0.00709,0.364,0.077,19,0.181,0.000236
242,,2103,371311,0.983,0.0164,0.251,0.117,17,0.0329,6.48e-05
244,,16945,371311,1.01,0.0109,0.206,0.0244,27,0.17,0.00231
250.1,,2971,367935,0.993,0.016,0.302,0.142,26,0.0794,3.84e-05
250.2,,21939,367935,1.03,0.00825,0.21,0.0105,25,0.217,0.0077
250.7,,1618,376319,0.991,0.0127,0.268,0.0979,18,0.0897,0.000242
251.1,,1226,365152,0.978,0.013,0.252,0.117,14,0.0199,1.41e-05
252.1,,954,386840,0.999,0.00655,0.00704,0.0485,5,0.00708,0.0197
272,,41110,350014,1.01,0.0106,0.12,0.00771,25,0.112,0.00457
274.1,,2554,388254,0.999,0.00689,0.154,0.0381,22,0.0402,3.58e-05
275.1,,806,388254,0.979,0.0185,1.59,0.853,29,0.987,2.81e-06
277.4,,437,389269,0.995,0.00718,0.885,0.683,27,0.319,3.37e-06
278,,14897,376227,0.995,0.00743,0.176,0.0104,22,0.166,0.0124
280,,9702,368867,0.983,0.00771,0.073,0.0121,17,0.0487,0.00302
285,,14215,368867,0.991,0.00879,0.0494,0.0117,17,0.0323,0.00166
286.12,,327,387900,0.999,0.00655,0.497,0.46,25,0.757,1.55e-05
290.1,,1851,382083,1,0.00665,0.0343,0.0307,19,0.0458,4.74e-06
290.11,,787,382083,1.01,0.00672,0.00822,0.0608,1,0.00961,0.0644
296.2,,27388,321145,0.998,0.00761,0.0896,0.00711,20,0.0869,0.0206
318,,21954,357624,0.996,0.0076,0.131,0.00758,22,0.125,0.0189
332,,1546,374975,0.989,0.00655,0.169,0.0404,6,0.142,0.00451
335,,1401,374975,0.994,0.0161,0.383,0.237,24,0.0595,2.51e-05
351,,13272,375208,0.999,0.008,0.124,0.0103,19,0.123,0.0128
361,,3603,377409,1,0.00752,0.158,0.0233,18,0.159,0.00345
362.29,,3041,376319,1,0.00553,0.0338,0.0214,18,0.0123,9.91e-06
364.5,,270,377409,0.998,0.00645,0.0915,0.233,16,0.199,1.02e-05
365,,5738,377409,1.01,0.00807,0.143,0.0178,20,0.135,0.00218
366,,25804,365320,0.998,0.00812,0.0822,0.00764,22,0.0722,0.00312
371.1,,565,380514,0.997,0.00788,0.0759,0.108,3,0.0444,0.0111
371,,3233,380514,0.99,0.0101,0.0828,0.0368,8,0.0523,0.0014
379.3,,2507,381950,1.01,0.00691,0.0665,0.0288,5,0.0818,0.0194
383,,328,386988,0.992,0.00737,0.662,0.157,13,0.543,0.00121
401,,87346,303778,1.04,0.0115,0.179,0.00688,25,0.188,0.0175
411.4,,23082,354709,1.02,0.00882,0.163,0.012,25,0.158,0.00458
415,,5364,382558,0.997,0.007,0.0786,0.0168,20,0.0285,7.26e-05
427.2,,17645,357738,1,0.00933,0.166,0.0215,26,0.123,0.00144
428,,7268,383049,1.01,0.00678,0.0628,0.0124,9,0.0723,0.00765
433.1,,1574,379102,1,0.00636,0.0674,0.0331,7,0.0546,0.0129
433,,10616,379102,1.01,0.00712,0.0336,0.00844,8,0.0391,0.00623
442.11,,1240,381105,1.01,0.0065,0.144,0.04,10,0.17,0.00918
443.9,,3172,381105,0.995,0.00675,0.118,0.0219,7,0.109,0.0041
451,,4622,349720,1,0.00763,0.126,0.0236,23,0.047,3.91e-05
454,,12621,349720,1,0.00878,0.184,0.0132,23,0.174,0.00449
455,,24786,349720,1.01,0.00732,0.0684,0.0064,18,0.0715,0.0128
459.9,,19760,365266,1,0.00717,0.055,0.00727,21,0.0393,0.00122
471,,3413,371063,1,0.00787,0.219,0.0346,22,0.159,0.00101
495,,28904,353077,1.02,0.0104,0.149,0.0109,25,0.139,0.00566
496,,13493,353077,1,0.00799,0.136,0.0114,20,0.13,0.0125
530.1,,37047,345546,1.01,0.00811,0.0876,0.00553,21,0.0912,0.032
531.3,,3301,382719,1,0.00644,0.071,0.0201,5,0.0774,0.0123
535.6,,8481,356066,1,0.00656,0.0685,0.0116,14,0.0688,0.00587
540,,3268,387856,1,0.00589,0.0606,0.018,3,0.0798,0.0483
550.1,,17255,338689,1,0.00894,0.14,0.0136,24,0.115,0.00268
